rev, All, Ekstazi, rts-trace
rev_1, 309, 309, 309
rev_2, 309, 0, 0
rev_3, 309, 0, 0
rev_4, 309, 9, 4
rev_5, 309, 1, 1
rev_6, 309, 1, 1
rev_7, 309, 1, 1
rev_8, 309, 1, 0
rev_9, 309, 1, 1
rev_10, 309, 0, 0
rev_11, 309, 0, 0
rev_12, 309, 1, 1
rev_13, 309, 0, 0
rev_14, 309, 53, 1
rev_15, 309, 0, 0
rev_16, 309, 0, 0
rev_17, 309, 0, 0
rev_18, 309, 0, 0
rev_19, 309, 32, 6
rev_20, 309, 39, 12
rev_21, 313, 54, 25
rev_22, 313, 0, 0
rev_23, 313, 49, 7
rev_24, 313, 0, 0
rev_25, 313, 49, 18
rev_26, 313, 0, 0
rev_27, 313, 0, 0
rev_28, 313, 49, 12
rev_29, 313, 59, 25
rev_30, 313, 80, 14
rev_31, 313, 59, 0
rev_32, 313, 34, 6
rev_33, 313, 34, 6
rev_34, 313, 32, 6
rev_35, 313, 32, 6
rev_36, 312, 31, 6
rev_37, 313, 32, 7
rev_38, 313, 0, 0
rev_39, 313, 84, 17
rev_40, 313, 0, 17
rev_41, 313, 163, 28
rev_42, 313, 16, 0
rev_43, 313, 0, 39
rev_44, 313, 0, 0
rev_45, 313, 65, 23
rev_46, 313, 161, 0
rev_47, 313, 0, 59
rev_48, 313, 0, 0
rev_49, 313, 0, 0
rev_50, 313, 24, 10
